Species	Extant	SampT
t1	FALSE	44.5447748942199
t2	FALSE	48.775061172461456
t2	FALSE	40.22301316170985
t5	FALSE	48.37220235213769
t5	FALSE	38.135540964530236
t10	FALSE	36.81640693099299
t10	FALSE	36.371899751211195
t11	TRUE	16.91754278382364
t11	TRUE	13.750394078862797
t12	FALSE	29.517239662755728
t14	FALSE	26.87018468990398
t15	FALSE	35.63942940889719
t16	TRUE	1.1739575295283586
t18	FALSE	24.14975495490453
t19	FALSE	35.48605124113664
t20	TRUE	32.254048261060866
t20	TRUE	29.32053413355306
t22	FALSE	27.30462677890018
t23	TRUE	8.70233062767938
t24	TRUE	7.8378511422002575
t24	TRUE	4.660753059821751
t25	TRUE	6.25714330660383
t31	TRUE	7.11541258046757
t33	TRUE	1.9418591562170633
t35	TRUE	8.222279214251806
t42	TRUE	26.17923380469145
t42	TRUE	15.464031767446414
t43	TRUE	19.228943014863745
t47	FALSE	21.551639552241312
t48	FALSE	20.18634694558726
t52	TRUE	18.91661470247209
t52	TRUE	15.89556857434809
t54	TRUE	21.725890694320583
t54	TRUE	21.236662391707682
t54	TRUE	20.629545591906094
t54	TRUE	12.605555782167961
t60	TRUE	2.058611129954258
t69	TRUE	1.935054395366599
t70	TRUE	24.055560656611384
t70	TRUE	23.306411930148066
t70	TRUE	19.41765780260092
t70	TRUE	11.971466668669642
t70	TRUE	3.409724478822909
t72	TRUE	17.452478912559663
t74	TRUE	8.689422986944614
t74	TRUE	3.7579314055297743
t78	FALSE	18.296567771067352
t78	FALSE	17.000928140660257
t81	TRUE	7.434761141118052
t83	TRUE	1.8820199624393084
t85	TRUE	5.810846995671895
t87	TRUE	2.510048448986673
t88	FALSE	16.524729768492776
t91	FALSE	9.872021333657194
t94	TRUE	10.955671967207941
t94	TRUE	4.599917457639727
t95	FALSE	8.08285119167212
t96	TRUE	4.6114754971737
t96	TRUE	4.5119353771829935
t107	FALSE	1.7167035471600869
t112	TRUE	3.0237695867304666
t114	FALSE	5.604385305341616
t115	TRUE	4.782269178103938
t124	TRUE	11.624766999873543
t126	TRUE	7.226424510118626
t126	TRUE	1.895224810105823
t127	FALSE	8.226487767793571
t129	TRUE	0.9849252871916505
t132	TRUE	3.711526716028665
t133	FALSE	5.153374053438519
t134	FALSE	9.238763248369153
t147	TRUE	2.0851938875273675
