Species	Extant	SampT
t1	FALSE	36.85446798408063
t3	FALSE	59.95927496927558
t5	TRUE	11.534373584415206
t9	TRUE	38.633398954548255
t21	FALSE	25.163078214887797
t23	TRUE	9.911768315274543
t27	FALSE	12.24060415500874
t27	FALSE	8.542139333461748
t39	FALSE	11.03119076905871
t39	FALSE	10.974073360917217
t40	TRUE	2.4001096447111365
t44	TRUE	6.207902616305304
t51	TRUE	19.06285016020368
t56	FALSE	23.118672949419924
t82	TRUE	6.935525247755734
t97	TRUE	6.933640326412487
t110	FALSE	10.959946359378094
t115	TRUE	5.596061769459666
