Species	Extant	SampT
t2	FALSE	62.887958962580456
t3	TRUE	13.974547702654668
t3	TRUE	13.201328443518335
t5	FALSE	41.933348310178445
t9	FALSE	20.92757207033786
t9	FALSE	17.31930196908864
t14	TRUE	15.619665822559469
t16	TRUE	32.31761909188217
t16	TRUE	27.205533113815093
t16	TRUE	4.765126006139781
t18	FALSE	17.301967059045516
t18	FALSE	2.1195736803762486
t23	TRUE	2.7179637835740778
t25	TRUE	23.818288524339422
t25	TRUE	22.128347822626218
t25	TRUE	20.209602893491372
t26	TRUE	10.262059776752224
t26	TRUE	5.75061002065145
t27	TRUE	14.57024045538806
t27	TRUE	8.432333183183303
t27	TRUE	5.645635959400764
t28	TRUE	28.552182527310016
t28	TRUE	17.665579265473582
t28	TRUE	13.817022660988307
t28	TRUE	10.235123591738677
t28	TRUE	10.199190689491964
t31	TRUE	0.5131850008726531
t33	FALSE	11.356281482642359
t34	TRUE	10.140753654376255
t36	TRUE	8.593374175357809
t37	TRUE	2.7386918973371195
t39	TRUE	5.802667929820615
t42	TRUE	23.532627175960208
t42	TRUE	11.549251244801546
t43	FALSE	23.25276522064096
t45	TRUE	19.772999516222413
t45	TRUE	17.948884849301372
t45	TRUE	14.070541790551339
t45	TRUE	13.567962751708983
t45	TRUE	9.457947540082095
t45	TRUE	0.29501684287942
t46	TRUE	13.673483618863031
t46	TRUE	6.995789922170445
t47	FALSE	21.037974761932517
t49	TRUE	7.188703794667944
t51	TRUE	13.39818910008998
t51	TRUE	12.459775137368155
t52	TRUE	12.774037572208357
t54	TRUE	0.20194493944526926
t55	TRUE	21.996455578322617
t56	TRUE	7.576059288534431
t56	TRUE	7.474371333795695
t56	TRUE	6.908551621439962
t58	TRUE	17.964287984787845
t58	TRUE	17.64797072638514
t58	TRUE	8.175734754323386
t64	FALSE	15.184891752551806
t66	FALSE	6.371755666044784
t67	TRUE	13.745566744864327
t67	TRUE	5.334924988955606
t93	TRUE	6.012506894854788
t103	TRUE	0.6548084851079636
t107	TRUE	1.7525774762366808
t115	TRUE	3.607489137141272
t118	TRUE	4.231775724424466
t135	TRUE	0.040963898780859154
